unified_rank,strength_rank,platform,product_id,price,level,total_yellow,team_count,team_bonus,pulls_total,role_score_total,weapon_score_total,strength_score,value_score,detail_url
69,55,kejinshou,35923649,140.0,72,32,0,0,1.35,642.3,277.0,920.65,6.576,https://m.kejinshou.com/goods/details/35923649
70,162,kejinshou,33962162,80.0,46,24,0,0,0.78,293.6,230.0,524.38,6.555,https://m.kejinshou.com/goods/details/33962162
71,42,pzds,MC0QQV,150,80,44,1,100,7.41,621.8,250.0,979.21,6.528,https://www.pzds.com/goodsDetails/MC0QQV/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
72,78,pzds,MCERL3,125,72,32,0,0,1.26,591.6,220.0,812.86,6.503,https://www.pzds.com/goodsDetails/MCERL3/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
73,36,kejinshou,35908973,158.0,60,24,2,200,0.0,561.8,263.0,1024.8,6.486,https://m.kejinshou.com/goods/details/35908973
74,59,pzds,MC5MVZ,139,75,28,0,0,0.53,720.6,180.0,901.13,6.483,https://www.pzds.com/goodsDetails/MC5MVZ/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
75,202,kejinshou,35695176,60.0,44,12,0,0,10.09,295.2,80.0,385.29,6.421,https://m.kejinshou.com/goods/details/35695176
76,39,pzds,MCB7UZ,159,76,36,1,100,18.0,666.15,229.0,1013.15,6.372,https://www.pzds.com/goodsDetails/MCB7UZ/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
77,184,kejinshou,32974204,70.0,53,13,0,0,0.12,293.35,150.0,443.48,6.335,https://m.kejinshou.com/goods/details/32974204
78,76,kejinshou,34994160,130.0,61,25,0,0,1.32,593.6,220.0,814.93,6.269,https://m.kejinshou.com/goods/details/34994160
79,49,kejinshou,35112712,150.0,80,19,0,0,7.99,596.85,330.0,934.84,6.232,https://m.kejinshou.com/goods/details/35112712
80,50,pzds,MC7KGM,150,80,32,0,0,0.56,687.6,242.0,930.16,6.201,https://www.pzds.com/goodsDetails/MC7KGM/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
81,170,kejinshou,34820596,80.0,64,18,0,0,0.88,354.8,140.0,495.68,6.196,https://m.kejinshou.com/goods/details/34820596
82,81,pzds,MC1LQZ,130,68,23,1,100,7.49,507.6,190.0,805.09,6.193,https://www.pzds.com/goodsDetails/MC1LQZ/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
83,129,kejinshou,33682424,100.0,48,18,0,0,0.54,455.8,163.0,619.34,6.193,https://m.kejinshou.com/goods/details/33682424
84,52,pzds,MCHUL5,150,71,28,0,0,8.41,765.6,154.0,928.01,6.187,https://www.pzds.com/goodsDetails/MCHUL5/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
85,99,pzds,MCC7ML,122,64,21,0,0,10.52,667.6,74.0,752.12,6.165,https://www.pzds.com/goodsDetails/MCC7ML/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
86,63,kejinshou,35799490,147.0,80,32,0,0,8.58,703.5,184.0,896.08,6.096,https://m.kejinshou.com/goods/details/35799490
87,133,kejinshou,35518073,100.0,71,28,0,0,0.81,412.7,194.0,607.51,6.075,https://m.kejinshou.com/goods/details/35518073
88,58,pzds,MCEHQ4,150,73,35,0,0,9.93,647.6,253.0,910.53,6.07,https://www.pzds.com/goodsDetails/MCEHQ4/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
89,134,kejinshou,33718762,100.0,64,23,1,100,2.87,354.2,142.0,599.07,5.991,https://m.kejinshou.com/goods/details/33718762
90,97,kejinshou,35817834,126.0,71,30,0,0,2.56,522.0,229.0,753.56,5.981,https://m.kejinshou.com/goods/details/35817834
91,121,kejinshou,35774081,110.0,68,15,0,0,0.21,467.05,190.0,657.26,5.975,https://m.kejinshou.com/goods/details/35774081
92,173,kejinshou,31805513,80.0,52,16,0,0,27.59,359.8,89.0,476.39,5.955,https://m.kejinshou.com/goods/details/31805513
93,115,kejinshou,35338519,115.0,73,24,0,0,0.17,513.65,169.0,682.82,5.938,https://m.kejinshou.com/goods/details/35338519
94,60,kejinshou,34905083,152.0,80,33,0,0,142.62,548.1,208.0,898.73,5.913,https://m.kejinshou.com/goods/details/34905083
95,94,kejinshou,34709059,130.0,80,28,0,0,17.51,565.9,184.0,767.41,5.903,https://m.kejinshou.com/goods/details/34709059
96,47,pzds,MCFXRQ,160,76,39,0,0,0.76,712.3,230.0,943.06,5.894,https://www.pzds.com/goodsDetails/MCFXRQ/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
97,84,kejinshou,35174147,136.0,56,23,1,100,5.84,522.1,173.0,800.94,5.889,https://m.kejinshou.com/goods/details/35174147
98,107,pzds,MC4JNA,122,75,29,0,0,8.44,450.4,254.0,712.84,5.843,https://www.pzds.com/goodsDetails/MC4JNA/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
99,95,pzds,MC7DG1,130,67,25,0,0,0.59,589.6,168.0,758.19,5.832,https://www.pzds.com/goodsDetails/MC7DG1/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
100,175,kejinshou,35016689,80.0,52,16,0,0,0.88,338.7,124.0,463.57,5.795,https://m.kejinshou.com/goods/details/35016689
101,89,pzds,MC49PJ,135,80,31,1,100,0.75,479.6,200.0,780.35,5.78,https://www.pzds.com/goodsDetails/MC49PJ/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
102,87,kejinshou,35792759,136.0,78,26,1,100,3.84,541.0,140.0,784.84,5.771,https://m.kejinshou.com/goods/details/35792759
103,140,kejinshou,34665047,100.0,52,19,0,0,8.32,379.6,188.0,575.92,5.759,https://m.kejinshou.com/goods/details/34665047
104,56,pzds,MCH6MD,160,80,40,1,100,0.33,642.8,174.0,917.13,5.732,https://www.pzds.com/goodsDetails/MCH6MD/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
