value_rank,strength_rank,product_id,price,level,total_yellow,pulls_total,role_score_total,weapon_score_total,strength_score,value_score,detail_url
70,70,MCA6F9,0,0,0,0.0,0,0,0.0,0.0,https://www.pzds.com/goodsDetails/MCA6F9/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
71,71,MC1T96,0,0,0,0.0,0,0,0.0,0.0,https://www.pzds.com/goodsDetails/MC1T96/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
72,72,MC8H16,0,0,0,0.0,0,0,0.0,0.0,https://www.pzds.com/goodsDetails/MC8H16/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
73,73,MCEUYB,0,0,0,0.0,0,0,0.0,0.0,https://www.pzds.com/goodsDetails/MCEUYB/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
74,74,MC28W6,0,0,0,0.0,0,0,0.0,0.0,https://www.pzds.com/goodsDetails/MC28W6/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
75,75,MCAEK4,0,0,0,0.0,0,0,0.0,0.0,https://www.pzds.com/goodsDetails/MCAEK4/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
76,76,MCHKTB,0,0,0,0.0,0,0,0.0,0.0,https://www.pzds.com/goodsDetails/MCHKTB/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
77,77,MC29JZ,0,0,0,0.0,0,0,0.0,0.0,https://www.pzds.com/goodsDetails/MC29JZ/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
78,78,MC4SF7,0,0,0,0.0,0,0,0.0,0.0,https://www.pzds.com/goodsDetails/MC4SF7/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
79,79,MC4K1N,0,0,0,0.0,0,0,0.0,0.0,https://www.pzds.com/goodsDetails/MC4K1N/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
80,80,MCB8QS,0,0,0,0.0,0,0,0.0,0.0,https://www.pzds.com/goodsDetails/MCB8QS/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
81,81,MCC7XG,0,0,0,0.0,0,0,0.0,0.0,https://www.pzds.com/goodsDetails/MCC7XG/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
82,82,MC5VDP,0,0,0,0.0,0,0,0.0,0.0,https://www.pzds.com/goodsDetails/MC5VDP/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
83,83,MC4KEU,0,0,0,0.0,0,0,0.0,0.0,https://www.pzds.com/goodsDetails/MC4KEU/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
84,84,MC9T5Z,0,0,0,0.0,0,0,0.0,0.0,https://www.pzds.com/goodsDetails/MC9T5Z/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
85,85,MCAD8V,0,0,0,0.0,0,0,0.0,0.0,https://www.pzds.com/goodsDetails/MCAD8V/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
86,86,MCEQ64,0,0,0,0.0,0,0,0.0,0.0,https://www.pzds.com/goodsDetails/MCEQ64/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
87,87,MC9Y04,0,0,0,0.0,0,0,0.0,0.0,https://www.pzds.com/goodsDetails/MC9Y04/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
88,88,MCBXEM,0,0,0,0.0,0,0,0.0,0.0,https://www.pzds.com/goodsDetails/MCBXEM/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
89,89,MCCS4E,0,0,0,0.0,0,0,0.0,0.0,https://www.pzds.com/goodsDetails/MCCS4E/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
90,90,MCGMNA,0,0,0,0.0,0,0,0.0,0.0,https://www.pzds.com/goodsDetails/MCGMNA/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
91,91,MC1GRX,0,0,0,0.0,0,0,0.0,0.0,https://www.pzds.com/goodsDetails/MC1GRX/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
92,92,MC3F6V,0,0,0,0.0,0,0,0.0,0.0,https://www.pzds.com/goodsDetails/MC3F6V/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
93,93,MCB6FQ,0,0,0,0.0,0,0,0.0,0.0,https://www.pzds.com/goodsDetails/MCB6FQ/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
94,94,MCCBL2,0,0,0,0.0,0,0,0.0,0.0,https://www.pzds.com/goodsDetails/MCCBL2/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
95,95,MCC3YR,0,0,0,0.0,0,0,0.0,0.0,https://www.pzds.com/goodsDetails/MCC3YR/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
96,96,MC1LTX,0,0,0,0.0,0,0,0.0,0.0,https://www.pzds.com/goodsDetails/MC1LTX/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
97,97,MC34QS,0,0,0,0.0,0,0,0.0,0.0,https://www.pzds.com/goodsDetails/MC34QS/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
98,98,MCEBYS,0,0,0,0.0,0,0,0.0,0.0,https://www.pzds.com/goodsDetails/MCEBYS/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
99,99,MCCXGU,0,0,0,0.0,0,0,0.0,0.0,https://www.pzds.com/goodsDetails/MCCXGU/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
100,100,MC3MPZ,0,0,0,0.0,0,0,0.0,0.0,https://www.pzds.com/goodsDetails/MC3MPZ/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
